Linear Detection Measurement - Goesser_62_136_
Pose p; Framenumber n; number of detected matches; targetpose px[m]; py[m]; pz[m]; rotx[°]; roty[°]; rotz[°]
Pose p; calculate Median
Pose p; calculate Mittelwert
Pose p; calculate Spannweite
Pose p; calculate Stdev
10; 14; 1; 0; 0; 0; 0; -0; 0
10; 15; 1; 0; 0; 0; 0; -0; 0
10; 16; 1; 0; 0; 0; 0; -0; 0
10; 17; 1; 0; 0; 0; 0; -0; 0
10; 18; 0; 0; 0; 0; 0; -0; 0
10; 19; 3; 0; 0; 0; 0; -0; 0
10; 20; 1; 0; 0; 0; 0; -0; 0
10; Median: 1; 0; 0; 0; 0; -0; 0
10; Mean: 1.05; 0; 0; 0; 0; 0; 0
10; Range: 3; 0; 0; 0; 0; 0; 0
10; Stdev: 0.804674; 0; 0; 0; 0; 0; 0
11; 1; 1; 0; 0; 0; 0; -0; 0
11; 2; 3; 0; 0; 0; 0; -0; 0
11; 3; 1; 0; 0; 0; 0; -0; 0
11; 4; 1; 0; 0; 0; 0; -0; 0
11; 5; 3; 0; 0; 0; 0; -0; 0
11; 6; 1; 0; 0; 0; 0; -0; 0
11; 7; 1; 0; 0; 0; 0; -0; 0
11; 8; 2; 0; 0; 0; 0; -0; 0
11; 9; 1; 0; 0; 0; 0; -0; 0
11; 10; 1; 0; 0; 0; 0; -0; 0
11; 11; 1; 0; 0; 0; 0; -0; 0
11; 12; 2; 0; 0; 0; 0; -0; 0
11; 13; 1; 0; 0; 0; 0; -0; 0
11; 14; 4; 0; 0; 0; 0; -0; 0
11; 15; 1; 0; 0; 0; 0; -0; 0
11; 16; 1; 0; 0; 0; 0; -0; 0
11; 17; 0; 0; 0; 0; 0; -0; 0
11; 18; 1; 0; 0; 0; 0; -0; 0
11; 19; 1; 0; 0; 0; 0; -0; 0
11; 20; 2; 0; 0; 0; 0; -0; 0
11; Median: 1; 0; 0; 0; 0; -0; 0
11; Mean: 1.45; 0; 0; 0; 0; 0; 0
11; Range: 4; 0; 0; 0; 0; 0; 0
11; Stdev: 0.920598; 0; 0; 0; 0; 0; 0
12; 1; 3; 0; 0; 0; 0; -0; 0
12; 2; 2; 0; 0; 0; 0; -0; 0
12; 3; 1; 0; 0; 0; 0; -0; 0
12; 4; 2; 0; 0; 0; 0; -0; 0
12; 5; 2; 0; 0; 0; 0; -0; 0
12; 6; 0; 0; 0; 0; 0; -0; 0
12; 7; 1; 0; 0; 0; 0; -0; 0
12; 8; 0; 0; 0; 0; 0; -0; 0
12; 9; 0; 0; 0; 0; 0; -0; 0
12; 10; 2; 0; 0; 0; 0; -0; 0
