Linear Detection Measurement - Goesser_25_65_
Pose p; Framenumber n; number of detected matches; targetpose px[m]; py[m]; pz[m]; rotx[°]; roty[°]; rotz[°]
Pose p; calculate Median
Pose p; calculate Mittelwert
Pose p; calculate Spannweite
Pose p; calculate Stdev
6; 13; 60; 0.0796189; 0.133803; 1.08446; 53.1952; -150.648; 10.4588
6; 14; 75; -0.073018; 0.210258; 0.740674; -108.965; 112.699; 169.357
6; 15; 76; 0.0526808; 0.0598722; 1.15223; 30.4467; -166.106; 18.4177
6; 16; 70; 0.0647819; 0.0372485; 1.02145; 25.5806; -164.419; 23.074
6; 17; 68; -0.0508651; 0.3044; 0.993183; 146.499; 170.94; 14.2966
6; 18; 66; -0.00850899; 0.136571; 1.16867; 57.4349; 179.253; 10.5796
6; 19; 69; 0.0645795; 0.141283; 1.17503; 55.1951; -157.269; 6.88804
6; 20; 74; -0.035111; 0.306368; 1.08088; -149.684; 121.336; 117.316
6; Median; 70; 0.0481635; 0.156667; 1.15223; 9.63061; -156.872; 57.4349
6; Mean; 71.2; 0.0148667; 0.16584; 1.1098; 27.9751; -41.2506; 36.2191
6; Range; 26; 0.202124; 0.269119; 0.564982; 165.409; 347.382; 308.509
6; Stdev; 6.03821; 0.0571176; 0.0735271; 0.110652; 45.1794; 149.073; 79.5088
7; 1; 76; 0.039541; 0.0983626; 1.21552; 60.3311; -163.411; 8.07823
7; 2; 68; -0.0658104; 0.226912; 1.00983; 134.545; 160.353; 15.8775
7; 3; 74; 0.0685252; 0.103312; 1.22928; 61.965; -155.139; 6.9378
7; 4; 68; 0.0599945; 0.0946127; 1.26235; 58.9754; -159.061; 6.6566
7; 5; 65; 0.0969296; 0.104474; 1.13898; 65.0935; -144.871; 3.39723
7; 6; 61; -0.0745217; 0.226151; 1.02213; 122.825; 146.86; 13.274
7; 7; 74; -0.0713618; 0.228268; 1.04664; 117.822; 147.919; 9.60165
7; 8; 57; 0.0967986; 0.167185; 1.29568; 81.3778; -142.21; 0.909478
7; 9; 63; 0.0652703; 0.117417; 1.24564; 63.7013; -154.346; 9.19047
7; 10; 57; 0.0599739; 0.0920062; 1.24487; 58.2364; -158.791; 7.16566
7; 11; 76; -0.00162572; 0.118798; 1.41791; -111.291; -1.23576; 177.561
7; 12; 68; 0.0591063; 0.0914263; 1.27262; 58.0348; -158.485; 7.97889
7; 13; 72; 0.0635629; 0.0901558; 1.21893; 56.0766; -156.901; 11.783
7; 14; 68; 0.0555703; 0.092299; 1.24901; 58.9221; -160.254; 6.26912
7; 15; 82; 0.0502247; 0.0887555; 1.24245; 57.8503; -161.138; 8.26219
7; 16; 69; 0.00486848; 0.0781589; 1.2858; 55.7571; -177.316; 9.04519
7; 17; 67; 0.0484973; 0.0772508; 1.28026; 52.8766; -163.144; 9.56546
7; 18; 72; 0.0448746; 0.0684558; 1.29494; 49.5055; -164.728; 10.6431
7; 19; 77; 0.0580733; 0.102092; 1.27047; 59.0074; -157.643; 10.5573
7; 20; 62; 0.0578749; 0.0924736; 1.25247; 58.9087; -159.759; 5.49306
7; Median; 68; 0.0578749; 0.0983626; 1.24901; 9.04519; -157.643; 58.9754
7; Mean; 68.8; 0.0358183; 0.117928; 1.22479; 16.9123; -104.165; 61.0261
7; Range; 25; 0.171451; 0.159812; 0.408079; 176.651; 337.669; 245.836
7; Stdev; 6.55439; 0.0500287; 0.0498742; 0.0971723; 36.9946; 113.01; 46.3021
8; 1; 81; 0.073804; 0.063379; 1.3113; 65.2436; -156.833; 4.57547
8; 2; 83; 0.0434104; 0.0364775; 1.36502; 58.2713; -168.584; 3.66015
8; 3; 77; 0.0583907; 0.0413177; 1.32105; 58.0418; -161.97; 7.62008
8; 4; 81; 0.073479; 0.0493179; 1.35009; 60.9867; -157.63; 6.40805
8; 5; 85; 0.0661837; 0.0506655; 1.32971; 60.8714; -157.98; 7.16855
8; 6; 90; 0.0753829; 0.049937; 1.35457; 61.43; -157.45; 5.51798
8; 7; 81; 0.0725993; 0.0431492; 1.34242; 58.9872; -158.576; 5.76147
8; 8; 76; 0.0618668; 0.0495601; 1.33567; 58.9024; -160.746; 8.32032
8; 9; 89; 0.0614133; 0.0310107; 1.35931; 53.766; -162.865; 8.57229
8; 10; 82; 0.0736608; 0.0495687; 1.30636; 59.933; -157.068; 5.6226
8; 11; 89; 0.0729622; 0.0400653; 1.31957; 57.7852; -158.44; 7.18239
8; 12; 71; 0.076636; 0.0454221; 1.33533; 59.4347; -157.277; 5.61616
8; 13; 79; 0.0718744; 0.0432237; 1.35103; 59.6621; -157.996; 6.27028
8; 14; 74; 0.0676744; 0.0249982; 1.33671; 53.1474; -160.898; 6.09533
8; 15; 87; 0.0694288; 0.0430959; 1.35998; 58.5926; -159.776; 7.44041
8; 16; 77; 0.073586; 0.0454805; 1.34706; 59.9227; -157.995; 5.98083
8; 17; 90; 0.0650967; 0.0470853; 1.32709; 59.5335; -159.705; 6.03294
8; 18; 90; 0.0675047; 0.055353; 1.32844; 62.6149; -158.753; 5.24313
8; 19; 83; 0.0753563; 0.0522017; 1.33697; 61.5195; -156.921; 6.4871
8; 20; 86; 0.069504; 0.0536716; 1.32666; 61.1445; -158.014; 5.98345
8; Median; 83; 0.0718744; 0.0470853; 1.33671; 6.09533; -158.014; 59.6621
8; Mean; 82.55; 0.0684907; 0.045749; 1.33722; 6.27795; -159.274; 59.4895
8; Range; 19; 0.0332256; 0.0383808; 0.0586544; 4.91214; 11.7508; 12.0962
8; Stdev; 5.56305; 0.00761741; 0.00836324; 0.0159851; 1.16323; 2.70596; 2.63572
9; 1; 88; 0.0583089; -0.00991988; 1.45277; 57.9893; -160.131; 5.98979
9; 2; 89; 0.0637474; -0.0260347; 1.43523; 50.9996; -159.122; 8.11513
9; 3; 87; 0.0594463; -0.00956259; 1.4376; 57.5857; -159.699; 6.32014
9; 4; 69; 0.0584598; -0.00167326; 1.43886; 59.1328; -159.667; 7.04242
9; 5; 90; 0.0593097; 6.33048e-05; 1.44336; 60.1012; -159.492; 7.37043
9; 6; 79; 0.0589672; -0.00911612; 1.45037; 56.082; -159.294; 7.93819
9; 7; 75; 0.0696945; 0.000972814; 1.4402; 60.364; -156.326; 5.72376
9; 8; 89; 0.057392; -0.00167148; 1.44429; 59.8527; -160.002; 7.08961
9; 9; 78; 0.0803837; -0.00242135; 1.4412; 58.7536; -153.677; 7.46117
9; 10; 78; -0.0500847; 0.122315; 1.3117; 105.592; 156.433; 1.57002
9; 11; 78; 0.0495371; -0.0084285; 1.48982; 59.6388; -162.963; 4.92952
9; 12; 87; 0.0588329; -0.00334722; 1.44653; 58.6796; -159.531; 7.6434
9; 13; 83; 0.0657057; -8.5943e-07; 1.44455; 60.2678; -156.543; 6.68835
9; 14; 71; 0.0334094; -0.0112072; 1.46223; 58.7511; -167.117; 5.71236
9; 15; 72; 0.0578087; -0.00228987; 1.45337; 59.9282; -160.106; 4.74371
9; 16; 83; 0.0553585; -0.0040087; 1.44819; 59.2118; -160.814; 7.44765
9; 17; 91; 0.053226; -0.00169326; 1.48019; 60.7262; -161.377; 5.96104
9; 18; 87; 0.0611462; -0.00105373; 1.43977; 59.7352; -158.161; 7.48338
9; 19; 80; 0.0532637; -0.0073446; 1.47256; 59.3701; -161.687; 5.22704
9; 20; 80; 0.0525255; -0.0154681; 1.45665; 56.6526; -162.58; 5.70931
9; Median; 83; 0.0584598; -0.00242135; 1.44653; 6.68835; -159.667; 59.3701
9; Mean; 81.7; 0.0528219; 0.000405508; 1.44447; 6.30832; -144.093; 60.9707
9; Range; 22; 0.130468; 0.14835; 0.178123; 6.54511; 323.55; 54.5927
9; Stdev; 6.55057; 0.0251503; 0.0286769; 0.0336382; 1.47277; 68.9969; 10.4519
10; 1; 67; 0.0704845; -0.0692298; 1.56031; 57.4697; -157.935; 7.56434
10; 2; 62; 0.06447; -0.060435; 1.54245; 60.7153; -159.644; 5.61853
10; 3; 70; 0.0619241; -0.06381; 1.56451; 59.6737; -159.308; 7.69569
10; 4; 61; 0.0656519; -0.0735019; 1.58527; 56.7299; -160.054; 7.64253
10; 5; 58; 0.0736425; -0.0705948; 1.50064; 55.2481; -157.423; 8.48286
10; 6; 69; 0.0714491; -0.0658586; 1.53071; 57.8634; -157.539; 7.61892
10; 7; 62; 0.0547551; -0.0699428; 1.55966; 57.1906; -163.343; 7.89518
10; 8; 61; 0.0648648; -0.0648553; 1.56686; 59.5732; -159.537; 7.18043
